Language|Alert_definition|PT|Title|Content|Id|PublishedDate|LinkURI
en|flood|all|North Korean leader says thousands of <b>flood</b> victims will be brought to capital for temporary care|SEOUL, South Korea (AP) — North Korea will not seek outside help to recover from <b>floods</b> that devastated areas near the country&#39;s border with China&nbsp;...|tag:google.com,2013:googlealerts/feed:18380925712157808621|2024-08-10T07:31:37Z|https://www.thestar.com/news/world/asia/north-korean-leader-says-thousands-of-flood-victims-will-be-brought-to-capital-for-temporary/article_bb2d32a4-d826-506e-acc6-18e1ccea2423.html
en|flood|all|Storm Debby Set to Dump More Rain Across Eastern US This Weekend - BNN Bloomberg|<b>Flood</b> warnings and watches stretch from Georgia to New Hampshire and heavy rain warnings are up in Ontario, Quebec and New Brunswick as post&nbsp;...|tag:google.com,2013:googlealerts/feed:8228755415348144017|2024-08-10T07:30:25Z|https://www.bnnbloomberg.ca/investing/2024/08/09/storm-debby-set-to-dump-more-rain-across-eastern-us-this-weekend/
en|flood|all|Debby finally moves out of the US, though risk from <b>flooded</b> rivers remains - The Hamilton Spectator|Debby finally moved out of the U.S. on Saturday after the storm spent the better part of week unleashing tornadoes and <b>flooding</b>, damaging homes&nbsp;...|tag:google.com,2013:googlealerts/feed:11917240778300854351|2024-08-10T07:23:12Z|https://www.thespec.com/life/debby-finally-moves-out-of-the-us-though-risk-from-flooded-rivers-remains/article_265a68bc-dd2d-5ef6-b886-125f5edb4449.html
en|flood|all|Where will potential flash <b>flooding</b> hit? - CTV News Northern Ontario|CTV&#39;s Kelsey McEwen says there will be a moderate to high risk of flash <b>flooding</b> in eastern Ontario and southern Quebec.|tag:google.com,2013:googlealerts/feed:1332212645957227607|2024-08-10T06:54:18Z|https://northernontario.ctvnews.ca/video/c2974604-where-will-potential-flash-flooding-hit-
en|flood|all|"Live updates: Heavy rain causes <b>flooding</b> across Montreal | CTV News"|The heavy rain is causing <b>flooding</b> and temporary road closures across the Greater Montreal area on Friday. According to Québec 511, numerous highways&nbsp;...|tag:google.com,2013:googlealerts/feed:15734540706895333450|2024-08-10T05:23:43Z|https://montreal.ctvnews.ca/live-updates-as-heavy-rain-causes-flooding-across-montreal-1.6994706
en|flood|all|North Korean leader says thousands of <b>flood</b> victims will be brought to capital for temporary care|Kim said it would take about two to three months to rebuild homes and stabilize the areas affected by <b>floods</b>. Until then, his government plans to&nbsp;...|tag:google.com,2013:googlealerts/feed:5784913481292790762|2024-08-10T04:18:56Z|https://toronto.citynews.ca/2024/08/10/north-korean-leader-says-thousands-of-flood-victims-will-be-brought-to-capital-for-temporary-care/
en|flood|all|<b>Flooding</b> from the remnants of Debby leads to high water rescues in New York, Pennsylvania|The worst of the flash <b>flooding</b> so far in New York was occurring in villages and hamlets in a largely rural area south of the Finger Lakes, not far&nbsp;...|tag:google.com,2013:googlealerts/feed:1364673407171383149|2024-08-10T04:18:06Z|https://www.timescolonist.com/weather-news/flooding-from-the-remnants-of-debby-leads-to-high-water-rescues-in-new-york-pennsylvania-9329456
en|flood|all|Post-tropical storm Debby hits Atlantic Canada with heavy rain, <b>flooding</b> - Global News|Residents of Montreal were hammered by heavy rain and <b>flooding</b> as post-tropical storm Debby arrived in Canada. The city received more rain in one&nbsp;...|tag:google.com,2013:googlealerts/feed:13600223404742241366|2024-08-10T03:08:09Z|https://globalnews.ca/video/10691905/post-tropical-storm-debby-heads-to-atlantic-canada-with-heavy-rain-flooding
en|flood|all|Tropical Storm Debby: Wide swaths of the U.S. still under threat from <b>flooding</b>, tornadoes|Watch Tropical Storm Debby: Wide swaths of the U.S. still under threat from <b>flooding</b>, tornadoes Video Online, on GlobalNews.ca.|tag:google.com,2013:googlealerts/feed:13536841122673099002|2024-08-10T00:01:59Z|https://globalnews.ca/video/10690728/tropical-storm-debby-wide-swaths-of-the-u-s-still-recovering-from-flooding-tornadoes/
en|flood|all|<b>Flooding</b> from the remnants of Debby leads to high water rescues in New York, Pennsylvania|First responders launched high-water and helicopter rescues of people trapped in cars and homes in rural New York and Pennsylvania as heavy rain&nbsp;...|tag:google.com,2013:googlealerts/feed:2231973727651451382|2024-08-09T23:40:23Z|https://www.cochraneeagle.ca/weather-news/flooding-from-the-remnants-of-debby-leads-to-high-water-rescues-in-new-york-pennsylvania-9329456
en|flood|all|<b>Flooding</b> from the remnants of Debby leads to high water rescues in New York, Pennsylvania - MSN|Ann Farkas walks in her <b>flood</b>-damaged home in Canisteo, N.Y., Friday, Aug. 9, 2024, after remnants of Tropical Storm Debby swept tough the area,&nbsp;...|tag:google.com,2013:googlealerts/feed:7731358158116951096|2024-08-09T23:21:14Z|http://www.msn.com/en-ca/news/weather/flooding-from-the-remnants-of-debby-lead-to-high-water-rescues-in-new-york-pennsylvania/ar-AA1ouJdK%3Focid%3DBingNewsVerp%26apiversion%3Dv2%26noservercache%3D1%26domshim%3D1%26renderwebcomponents%3D1%26wcseo%3D1%26batchservertelemetry%3D1%26noservertelemetry%3D1
en|flood|all|<b>Flooding</b> from the remnants of Debby leads to high water rescues in New York, Pennsylvania|BARRE, Vt. - First responders launched high-water and helicopter rescues of people trapped in cars and homes in rural New York and Pennsylvania as&nbsp;...|tag:google.com,2013:googlealerts/feed:12842574374394614226|2024-08-09T23:14:15Z|https://www.thestar.com/news/world/united-states/flooding-from-the-remnants-of-debby-leads-to-high-water-rescues-in-new-york-pennsylvania/article_28c5d507-d456-50dd-8d40-86e36fcdf980.html
en|flood|all|<b>Flood</b> watch along the Seaway - CTV News Ottawa|<b>Flood</b> watch along the Seaway. Officials are keeping an eye on water levels as remnants of tropical storm Debby move over eastern Ontario. CTV&#39;s&nbsp;...|tag:google.com,2013:googlealerts/feed:16493087484344667269|2024-08-09T23:13:18Z|https://ottawa.ctvnews.ca/video/c2974845-flood-watch-along-the-seaway
en|flood|all|Heavy rain <b>floods</b> Montreal homes|Heavy rain <b>floods</b> Montreal homes. “It&#39;s getting worse,” says Haissam Halawi, whose home in Montreal&#39;s Saint-Laurent borough was <b>flooded</b> as heavy&nbsp;...|tag:google.com,2013:googlealerts/feed:8569292298227144030|2024-08-09T22:45:08Z|https://montreal.citynews.ca/video/2024/08/09/heavy-rain-floods-montreal-homes/
en|flood|all|<b>Flooding</b> from the remnants of Debby leads to high water rescues in New York, Pennsylvania|158f8572da93052a9536d46d07d31407a3da60e90e51b5335daeeec089915bcf Ann Farkas walks in her <b>flood</b>-damaged home in Canisteo, N.Y., Friday, Aug. 9&nbsp;...|tag:google.com,2013:googlealerts/feed:7154455935336838702|2024-08-09T22:11:26Z|https://www.lakelandtoday.ca/environment-news/flooding-from-the-remnants-of-debby-leads-to-high-water-rescues-in-new-york-pennsylvania-9329473
en|flood|all|Debby bringing heavy rain, <b>flooding</b> and possible tornadoes northeast into the weekend|And more than 300 miles (483 kilometers) south of Debby&#39;s center, flash <b>flooding</b> hit the South Carolina town of Moncks Corner, where one of Debby&#39;s&nbsp;...|tag:google.com,2013:googlealerts/feed:6984561152696043663|2024-08-09T21:58:08Z|https://www.lakelandtoday.ca/world-news/debby-bringing-heavy-rain-flooding-and-possible-tornadoes-northeast-into-the-weekend-9329872
en|flood|all|NY&#39;s Hochul Declares State of Emergency as Storm Moves Upstate - BNN Bloomberg|... <b>flood</b> warnings as the remnants of Debby; a hurricane ... <b>flood</b>-prone areas to reduce <b>flooding</b> risks, according to the governor&#39;s statement.|tag:google.com,2013:googlealerts/feed:5989469827966182296|2024-08-09T21:33:28Z|https://www.bnnbloomberg.ca/investing/2024/08/09/nys-hochul-declares-state-of-emergency-as-storm-moves-upstate/
en|flood|all|&#39;Curled up in balls,&#39; overwhelmed Burlington residents tell city staff the current standard for ...|Some residents affected by <b>floods</b> in Burlington say the city response just isn&#39;t enough. In a council session on Aug. 7, Burlington residents&nbsp;...|tag:google.com,2013:googlealerts/feed:13076711787052085566|2024-08-09T21:25:13Z|https://halton.insauga.com/curled-up-in-balls-overwhelmed-burlington-residents-tell-city-staff-the-current-standard-for-flood-relief-isnt-enough/
en|flood|all|The Latest: A downgraded Debby still threatens the East Coast with heavy rain and <b>flooding</b>|A golf cart sits in <b>flood</b> waters on Atlantic Ave. as Tropical Storm Debby approaches, Wednesday, Aug. 7, 2024, in Sullivan&#39;s Island,&nbsp;...|tag:google.com,2013:googlealerts/feed:17862991549611028229|2024-08-09T21:21:54Z|https://www.thestar.com/news/world/united-states/the-latest-a-downgraded-debby-still-threatens-the-east-coast-with-heavy-rain-and-flooding/article_bf8b4716-7ee4-5db4-b8b6-110a63a5645f.html
en|flood|all|Remnants of Debby move across Ottawa, eastern Ontario, prompting <b>flood</b> risks|Some coastal cities have received more than 30 cm of rain. Have you experienced <b>flooding</b> at your home due to the rain or seen <b>flooding</b> on a street in&nbsp;...|tag:google.com,2013:googlealerts/feed:7083747982419885954|2024-08-09T20:58:45Z|https://ottawa.ctvnews.ca/remnants-of-debby-move-across-ottawa-eastern-ontario-prompting-flood-risks-1.6994559
fr|inondation|all|La tempête de vendredi au Québec entre dans l&#39;histoire: quantité de pluie «sans précédent|«Ils vont annuler mon assurance». Société. «Ils vont annuler mon assurance»: des Montréalais découragés des <b>inondations</b> à répétition. RECOMMANDÉ POUR&nbsp;...|tag:google.com,2013:googlealerts/feed:9356104763352159194|2024-08-10T04:25:58Z|https://www.journaldemontreal.com/2024/08/09/inhabituelle-et-plutot-rare-plusieurs-records-de-pluie-bientot-battus-dans-le-grand-montreal
fr|inondation|all|Avertissement sur les prévisions de fortes pluies - Ville de Saint-Raymond|... <b>inondation</b>. EN CAS D&#39;URGENCE, COMPOSEZ LE 911. Services en ligne. Inscription aux activités de loisirs &middot; Demande de permis en ligne &middot; Achat de billets&nbsp;...|tag:google.com,2013:googlealerts/feed:15924122445151090439|2024-08-10T04:17:27Z|https://villesaintraymond.com/actualites/avertissement-sur-les-previsions-de-fortes-pluies
fr|inondation|all|Les vestiges de Debby ont touché le Québec, un record de pluie fracassé à Montréal|Des <b>inondations</b> sont possibles par endroits dans les basses terres», a ... La Sécurité publique du Québec fait notamment état d&#39;une <b>inondation</b>&nbsp;...|tag:google.com,2013:googlealerts/feed:11277862819801266857|2024-08-10T04:00:11Z|https://www.lequotidien.com/actualites/2024/08/09/les-vestiges-de-emdebbyem-apportent-des-quantites-significatives-de-pluie-au-quebec-73EY32LHOBFC5ECVPSI4M5EGUM/
fr|inondation|all|Pluies abondantes à Gatineau: des résidents s&#39;inquiètent - 104.7 Outaouais|Ça gâche mon weekend, puisque j&#39;étais supposé d&#39;aller en camping. Un résident de l&#39;Outaouais. Ça fait paniquer un peu, on ne peut pas d&#39;<b>inondations</b>.|tag:google.com,2013:googlealerts/feed:6044931604318954038|2024-08-10T03:56:09Z|https://www.fm1047.ca/nouvelles/640834/pluies-abondantes-a-gatineau-des-residents-s-inquietent
fr|inondation|all|"Fortes pluies – État de situation | Ville de Mont-Tremblant"|Cette publication sera mise à jour en fonction de l&#39;évolution de la situation. Autres actualités à consulter. Risque d&#39;<b>inondation</b> modéré de la rivière&nbsp;...|tag:google.com,2013:googlealerts/feed:18321991136739337591|2024-08-10T03:33:45Z|https://www.villedemont-tremblant.qc.ca/fr/nouvelles/pluie
fr|inondation|all|"Les Hautes-Laurentides durement touchées | L&#39;info de la Lièvre"|... <b>Inondation</b>#Kiamika#Macaza#Nominingue#Pluie diluvienne#rivière Rouge#Route barrée. Vous aimeriez peut-être... 26 &middot; Accueil Actualités En vedette Santé.|tag:google.com,2013:googlealerts/feed:501809753119182897|2024-08-10T03:12:25Z|https://infodelalievre.ca/actualites/2024/08/09/les-hautes-laurentides-durement-touchees/
fr|inondation|all|"Vaudreuil-Soulanges touchée par les <b>inondations</b> pluviales | VIVA MÉDIA"|La région de Vaudreuil-Soulanges n&#39;est pas épargnée par les <b>inondations</b>. Rues, terrains et sous-sols sont submergés, en ce 9 août 2024.|tag:google.com,2013:googlealerts/feed:1852326754162619864|2024-08-10T02:51:52Z|https://www.viva-media.ca/la-voix-regionale-vaudreuil-soulanges/actualite-vs/communaute-vs/vaudreuil-soulanges-touchee-par-les-inondations-pluviales/
fr|inondation|all|Pluie torrentielle: voies publiques impraticables, pannes électriques, sous-sol inondés ...|https://www.cjso.ca/wp-content/uploads/2024/08/Temoignage-<b>Inondation</b>-20240809.mp3. 00:00. 00:00. 00:00. Le conseiller du quartier, Olivier Picard, s&nbsp;...|tag:google.com,2013:googlealerts/feed:8140080167566101114|2024-08-10T02:46:23Z|https://www.cjso.ca/pluie-torrentielle-voies-publiques-impraticables-pannes-electriques-sous-sol-inondes-cours-de-residences-transformees-en-lac/
fr|inondation|all|"Pluies intenses jusqu&#39;à ce soir en Outaouais | Les ruisseaux débordent à certains endroits"|Les ruisseaux débordent à certains endroits. Publié le 9 août 2024 à 16:18. Les ruisseaux débordent à certains endroits <b>Inondation</b> / Facebook. Les&nbsp;...|tag:google.com,2013:googlealerts/feed:4857739721854812770|2024-08-10T02:20:55Z|https://www.fm1047.ca/nouvelles/640863/les-ruisseaux-debordent-a-certains-endroits
fr|inondation|all|Fermeture de rues dans le secteur de la 10e Rue - Ville de Saint-Jérôme|... <b>inondation</b>; En cas de rupture de barrage : quebec.ca/securite-situations-urgence/urgences-sinistres-risques-naturels/quoi-faire-avant-pendant-apres&nbsp;...|tag:google.com,2013:googlealerts/feed:1610089115965928777|2024-08-10T01:47:42Z|https://www.vsj.ca/actualites/fermeture-de-rues-dans-le-secteur-de-la-10e-rue/
fr|inondation|all|"CONDITIONS MÉTÉOROLOGIQUES : Infiltrations d&#39;eau | Ville de Varennes"|Nos équipes des Services des travaux publics et de sécurité incendie sont mobilisés pour intervenir là où la situation le requiert. Pour toute urgence&nbsp;...|tag:google.com,2013:googlealerts/feed:17129356274828243935|2024-08-10T01:21:59Z|https://www.ville.varennes.qc.ca/actualites/24/08/09/conditions-meteorologiques-inondation
fr|inondation|all|"Soudan | De fortes pluies et des <b>inondations</b> frappent les déplacés déjà touchés par la guerre"|Les fortes pluies et les <b>inondations</b> aggravent la situation des déplacés soudanais, plus d&#39;un an après le début d&#39;une guerre qui oppose l&#39;armée&nbsp;...|tag:google.com,2013:googlealerts/feed:10555444524568183661|2024-08-10T00:56:12Z|https://www.lapresse.ca/international/afrique/2024-08-09/soudan/de-fortes-pluies-et-des-inondations-frappent-les-deplaces-deja-touches-par-la-guerre.php
fr|inondation|all|Rive-Sud : les fortes pluies causent de nombreuses <b>inondations</b> - Le Soleil de Châteauguay|Depuis 18h, le Service de sécurité incendie de Coteau-du-Lac et de Les Coteaux a répondu à une dizaine d&#39;appels; principalement des <b>inondations</b> de&nbsp;...|tag:google.com,2013:googlealerts/feed:17930896756273696120|2024-08-10T00:28:24Z|https://www.cybersoleil.com/rive-sud-les-fortes-pluies-causent-de-nombreuses-inondations-actu/
fr|inondation|all|"Intempéries: des records de pluie battus à Montréal, mais pas à Québec | JDQ"|... <b>inondation</b>. En fin de journée, la surveillance étroite se poursuivait et la quantité prévue était loin d&#39;être atteinte avec 30 ou 40 mm selon les&nbsp;...|tag:google.com,2013:googlealerts/feed:1036626585482551360|2024-08-09T23:41:07Z|https://www.journaldequebec.com/2024/08/09/intemperies--des-records-de-pluie-battus-a-montreal-mais-pas-a-quebec
fr|inondation|all|"EN IMAGES | Des routes dans les Laurentides affaissées par la pluie - TVA Nouvelles"|À Nominingue, dans les Laurentides, une partie d&#39;un chemin est ravagée par le mauvais temps.|tag:google.com,2013:googlealerts/feed:8954031715013397118|2024-08-09T23:27:15Z|https://www.tvanouvelles.ca/2024/08/09/en-images--des-chemins-dans-les-laurentides-affaisses-par-la-pluie
fr|inondation|all|"Vestiges de la tempête «Debby»: plus de 48 000 foyers plongés dans le noir | JDM"|«Ils vont annuler mon assurance». Société. «Ils vont annuler mon assurance»: des Montréalais découragés des <b>inondations</b> à répétition &middot; Conseils.|tag:google.com,2013:googlealerts/feed:12880939987196977253|2024-08-09T23:25:16Z|https://www.journaldemontreal.com/2024/08/09/vestiges-de-la-tempete-debby-plus-de-48-000-foyers-plonges-dans-le-noir
fr|inondation|all|100 mm de pluie attendus en Mauricie: les événements extérieurs à l&#39;eau? - Le Nouvelliste|Sport automobile, course en sentier, exposition de peinture, festival... les activités ne manqueront pas dans la région pour les prochains jours.|tag:google.com,2013:googlealerts/feed:14725850060872389999|2024-08-09T22:29:51Z|https://www.lenouvelliste.ca/actualites/actualites-locales/2024/08/09/100-mm-de-pluie-attendus-en-mauricie-les-evenements-exterieurs-a-leau-QMG7E5BUOVF4LFZ7DHEQCOFQ6I/
fr|inondation|all|Tempête Debby: «La situation semble être sous contrôle» - Le Nouvelliste|En attendant, les autorités surveillent les possibles <b>inondations</b> et glissements de terrain tandis que les organisateurs d&#39;événement jonglent avec&nbsp;...|tag:google.com,2013:googlealerts/feed:8655725702362071156|2024-08-09T22:04:21Z|https://www.lenouvelliste.ca/actualites/actualites-locales/2024/08/09/tempete-debby-la-situation-semble-etre-sous-controle-WTFZTN6E3ZBU3GM6PV63YNDFLY/
fr|inondation|all|"Les vestiges de Debby causent une accumulation d&#39;eau sur plusieurs routes | La Presse"|Chantier du garage Bellechasse L&#39;<b>inondation</b> majeure aura « des impacts », croit la &middot; Grand Montréal &middot; Chantier du garage Bellechasse L&#39;<b>inondation</b>&nbsp;...|tag:google.com,2013:googlealerts/feed:14603141963687235062|2024-08-09T21:29:10Z|https://www.lapresse.ca/actualites/2024-08-09/pluies-abondantes-au-quebec-et-en-ontario/les-vestiges-de-debby-causent-une-accumulation-d-eau-sur-plusieurs-routes.php
fr|inondation|all|"Debby cause des <b>inondations</b> à Montréal | Info - Radio-Canada"|Après avoir traversé les États-Unis, les restes de la tempête Debby frappent l&#39;est du pays. De nombreuses villes sont sur un pied d&#39;alerte.|tag:google.com,2013:googlealerts/feed:14724593984740620947|2024-08-09T21:01:25Z|https://ici.radio-canada.ca/info/videos/1-10148142/debby-cause-inondations-a-montreal
en|ice jam|all|North Korean leader says thousands of <b>flood</b> victims will be brought to capital for temporary care|SEOUL, South Korea (AP) — North Korea will not seek outside help to recover from <b>floods</b> that devastated areas near the country&#39;s border with China&nbsp;...|tag:google.com,2013:googlealerts/feed:18380925712157808621|2024-08-10T07:31:37Z|https://www.thestar.com/news/world/asia/north-korean-leader-says-thousands-of-flood-victims-will-be-brought-to-capital-for-temporary/article_bb2d32a4-d826-506e-acc6-18e1ccea2423.html
en|ice jam|all|Storm Debby Set to Dump More Rain Across Eastern US This Weekend - BNN Bloomberg|<b>Flood</b> warnings and watches stretch from Georgia to New Hampshire and heavy rain warnings are up in Ontario, Quebec and New Brunswick as post&nbsp;...|tag:google.com,2013:googlealerts/feed:8228755415348144017|2024-08-10T07:30:25Z|https://www.bnnbloomberg.ca/investing/2024/08/09/storm-debby-set-to-dump-more-rain-across-eastern-us-this-weekend/
en|ice jam|all|Debby finally moves out of the US, though risk from <b>flooded</b> rivers remains - The Hamilton Spectator|Debby finally moved out of the U.S. on Saturday after the storm spent the better part of week unleashing tornadoes and <b>flooding</b>, damaging homes&nbsp;...|tag:google.com,2013:googlealerts/feed:11917240778300854351|2024-08-10T07:23:12Z|https://www.thespec.com/life/debby-finally-moves-out-of-the-us-though-risk-from-flooded-rivers-remains/article_265a68bc-dd2d-5ef6-b886-125f5edb4449.html
en|ice jam|all|Where will potential flash <b>flooding</b> hit? - CTV News Northern Ontario|CTV&#39;s Kelsey McEwen says there will be a moderate to high risk of flash <b>flooding</b> in eastern Ontario and southern Quebec.|tag:google.com,2013:googlealerts/feed:1332212645957227607|2024-08-10T06:54:18Z|https://northernontario.ctvnews.ca/video/c2974604-where-will-potential-flash-flooding-hit-
en|ice jam|all|"Live updates: Heavy rain causes <b>flooding</b> across Montreal | CTV News"|The heavy rain is causing <b>flooding</b> and temporary road closures across the Greater Montreal area on Friday. According to Québec 511, numerous highways&nbsp;...|tag:google.com,2013:googlealerts/feed:15734540706895333450|2024-08-10T05:23:43Z|https://montreal.ctvnews.ca/live-updates-as-heavy-rain-causes-flooding-across-montreal-1.6994706
en|ice jam|all|North Korean leader says thousands of <b>flood</b> victims will be brought to capital for temporary care|Kim said it would take about two to three months to rebuild homes and stabilize the areas affected by <b>floods</b>. Until then, his government plans to&nbsp;...|tag:google.com,2013:googlealerts/feed:5784913481292790762|2024-08-10T04:18:56Z|https://toronto.citynews.ca/2024/08/10/north-korean-leader-says-thousands-of-flood-victims-will-be-brought-to-capital-for-temporary-care/
en|ice jam|all|<b>Flooding</b> from the remnants of Debby leads to high water rescues in New York, Pennsylvania|The worst of the flash <b>flooding</b> so far in New York was occurring in villages and hamlets in a largely rural area south of the Finger Lakes, not far&nbsp;...|tag:google.com,2013:googlealerts/feed:1364673407171383149|2024-08-10T04:18:06Z|https://www.timescolonist.com/weather-news/flooding-from-the-remnants-of-debby-leads-to-high-water-rescues-in-new-york-pennsylvania-9329456
en|ice jam|all|Post-tropical storm Debby hits Atlantic Canada with heavy rain, <b>flooding</b> - Global News|Residents of Montreal were hammered by heavy rain and <b>flooding</b> as post-tropical storm Debby arrived in Canada. The city received more rain in one&nbsp;...|tag:google.com,2013:googlealerts/feed:13600223404742241366|2024-08-10T03:08:09Z|https://globalnews.ca/video/10691905/post-tropical-storm-debby-heads-to-atlantic-canada-with-heavy-rain-flooding
en|ice jam|all|Tropical Storm Debby: Wide swaths of the U.S. still under threat from <b>flooding</b>, tornadoes|Watch Tropical Storm Debby: Wide swaths of the U.S. still under threat from <b>flooding</b>, tornadoes Video Online, on GlobalNews.ca.|tag:google.com,2013:googlealerts/feed:13536841122673099002|2024-08-10T00:01:59Z|https://globalnews.ca/video/10690728/tropical-storm-debby-wide-swaths-of-the-u-s-still-recovering-from-flooding-tornadoes/
en|ice jam|all|<b>Flooding</b> from the remnants of Debby leads to high water rescues in New York, Pennsylvania|First responders launched high-water and helicopter rescues of people trapped in cars and homes in rural New York and Pennsylvania as heavy rain&nbsp;...|tag:google.com,2013:googlealerts/feed:2231973727651451382|2024-08-09T23:40:23Z|https://www.cochraneeagle.ca/weather-news/flooding-from-the-remnants-of-debby-leads-to-high-water-rescues-in-new-york-pennsylvania-9329456
en|ice jam|all|<b>Flooding</b> from the remnants of Debby leads to high water rescues in New York, Pennsylvania - MSN|Ann Farkas walks in her <b>flood</b>-damaged home in Canisteo, N.Y., Friday, Aug. 9, 2024, after remnants of Tropical Storm Debby swept tough the area,&nbsp;...|tag:google.com,2013:googlealerts/feed:7731358158116951096|2024-08-09T23:21:14Z|http://www.msn.com/en-ca/news/weather/flooding-from-the-remnants-of-debby-lead-to-high-water-rescues-in-new-york-pennsylvania/ar-AA1ouJdK%3Focid%3DBingNewsVerp%26apiversion%3Dv2%26noservercache%3D1%26domshim%3D1%26renderwebcomponents%3D1%26wcseo%3D1%26batchservertelemetry%3D1%26noservertelemetry%3D1
en|ice jam|all|<b>Flooding</b> from the remnants of Debby leads to high water rescues in New York, Pennsylvania|BARRE, Vt. - First responders launched high-water and helicopter rescues of people trapped in cars and homes in rural New York and Pennsylvania as&nbsp;...|tag:google.com,2013:googlealerts/feed:12842574374394614226|2024-08-09T23:14:15Z|https://www.thestar.com/news/world/united-states/flooding-from-the-remnants-of-debby-leads-to-high-water-rescues-in-new-york-pennsylvania/article_28c5d507-d456-50dd-8d40-86e36fcdf980.html
en|ice jam|all|<b>Flood</b> watch along the Seaway - CTV News Ottawa|<b>Flood</b> watch along the Seaway. Officials are keeping an eye on water levels as remnants of tropical storm Debby move over eastern Ontario. CTV&#39;s&nbsp;...|tag:google.com,2013:googlealerts/feed:16493087484344667269|2024-08-09T23:13:18Z|https://ottawa.ctvnews.ca/video/c2974845-flood-watch-along-the-seaway
en|ice jam|all|Heavy rain <b>floods</b> Montreal homes|Heavy rain <b>floods</b> Montreal homes. “It&#39;s getting worse,” says Haissam Halawi, whose home in Montreal&#39;s Saint-Laurent borough was <b>flooded</b> as heavy&nbsp;...|tag:google.com,2013:googlealerts/feed:8569292298227144030|2024-08-09T22:45:08Z|https://montreal.citynews.ca/video/2024/08/09/heavy-rain-floods-montreal-homes/
en|ice jam|all|<b>Flooding</b> from the remnants of Debby leads to high water rescues in New York, Pennsylvania|158f8572da93052a9536d46d07d31407a3da60e90e51b5335daeeec089915bcf Ann Farkas walks in her <b>flood</b>-damaged home in Canisteo, N.Y., Friday, Aug. 9&nbsp;...|tag:google.com,2013:googlealerts/feed:7154455935336838702|2024-08-09T22:11:26Z|https://www.lakelandtoday.ca/environment-news/flooding-from-the-remnants-of-debby-leads-to-high-water-rescues-in-new-york-pennsylvania-9329473
en|ice jam|all|Debby bringing heavy rain, <b>flooding</b> and possible tornadoes northeast into the weekend|And more than 300 miles (483 kilometers) south of Debby&#39;s center, flash <b>flooding</b> hit the South Carolina town of Moncks Corner, where one of Debby&#39;s&nbsp;...|tag:google.com,2013:googlealerts/feed:6984561152696043663|2024-08-09T21:58:08Z|https://www.lakelandtoday.ca/world-news/debby-bringing-heavy-rain-flooding-and-possible-tornadoes-northeast-into-the-weekend-9329872
en|ice jam|all|NY&#39;s Hochul Declares State of Emergency as Storm Moves Upstate - BNN Bloomberg|... <b>flood</b> warnings as the remnants of Debby; a hurricane ... <b>flood</b>-prone areas to reduce <b>flooding</b> risks, according to the governor&#39;s statement.|tag:google.com,2013:googlealerts/feed:5989469827966182296|2024-08-09T21:33:28Z|https://www.bnnbloomberg.ca/investing/2024/08/09/nys-hochul-declares-state-of-emergency-as-storm-moves-upstate/
en|ice jam|all|&#39;Curled up in balls,&#39; overwhelmed Burlington residents tell city staff the current standard for ...|Some residents affected by <b>floods</b> in Burlington say the city response just isn&#39;t enough. In a council session on Aug. 7, Burlington residents&nbsp;...|tag:google.com,2013:googlealerts/feed:13076711787052085566|2024-08-09T21:25:13Z|https://halton.insauga.com/curled-up-in-balls-overwhelmed-burlington-residents-tell-city-staff-the-current-standard-for-flood-relief-isnt-enough/
en|ice jam|all|The Latest: A downgraded Debby still threatens the East Coast with heavy rain and <b>flooding</b>|A golf cart sits in <b>flood</b> waters on Atlantic Ave. as Tropical Storm Debby approaches, Wednesday, Aug. 7, 2024, in Sullivan&#39;s Island,&nbsp;...|tag:google.com,2013:googlealerts/feed:17862991549611028229|2024-08-09T21:21:54Z|https://www.thestar.com/news/world/united-states/the-latest-a-downgraded-debby-still-threatens-the-east-coast-with-heavy-rain-and-flooding/article_bf8b4716-7ee4-5db4-b8b6-110a63a5645f.html
en|ice jam|all|Remnants of Debby move across Ottawa, eastern Ontario, prompting <b>flood</b> risks|Some coastal cities have received more than 30 cm of rain. Have you experienced <b>flooding</b> at your home due to the rain or seen <b>flooding</b> on a street in&nbsp;...|tag:google.com,2013:googlealerts/feed:7083747982419885954|2024-08-09T20:58:45Z|https://ottawa.ctvnews.ca/remnants-of-debby-move-across-ottawa-eastern-ontario-prompting-flood-risks-1.6994559
fr|embacle|all|Un glissement de terrain et des inondations endommagent des sites autochtones|... <b>embâcle</b> qui avait bloqué la rivière Chilcotin dans le centre de l&#39;intérieur de la Colombie-Britannique, à la suite d&#39;un glissement de terrain. La&nbsp;...|tag:google.com,2013:googlealerts/feed:13727504385637263575|2024-08-09T12:37:24Z|https://ici.radio-canada.ca/nouvelle/2095197/sites-autochtones-embacle-dommage-chilcotin
